--- Log started at Tue Dec 18 14:42:14 2012

000003.237|  233940.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.237|  233940.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.238|  233940.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.238|  233940.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.241|  234160.0000kb|    220.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.241|  234160.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.241|  234192.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.772|  241888.0000kb|   7696.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000003.986|  244016.0000kb|   2128.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.099|  249212.0000kb|   5196.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000004.416|  253432.0000kb|   4220.0000kb added| ALWAYS| Sleeping
000004.516|  253432.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.516|  253444.0000kb|     12.0000kb added| ALWAYS| End processing App Update
000004.516|  253444.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.616|  253444.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.616|  253444.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.616|  253444.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.716|  253444.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.716|  253444.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.716|  253444.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.816|  253444.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.816|  253444.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.816|  253444.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.916|  253444.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.916|  253444.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.916|  253444.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.016|  253444.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.016|  253444.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.016|  253444.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.116|  253476.0000kb|     32.0000kb added| ALWAYS| Start processing App Update
000005.116|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.116|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.216|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.216|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.216|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.316|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.316|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.316|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.416|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.416|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.416|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.516|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.516|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.516|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.616|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.616|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.616|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.716|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.716|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.716|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.816|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.816|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.816|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.916|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.916|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.916|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.016|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.016|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.016|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.116|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.116|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.116|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.216|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.216|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.216|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.316|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.316|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.316|  253476.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.416|  253476.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.416|  253476.0000kb|      0.0000kb added| ALWAYS| End processing App Update
