--- Log started at Thu Sep 20 19:59:34 2012

000004.621|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000004.625|  235340.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000004.625|  235344.0000kb|      4.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000004.625|  235376.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.197|  241592.0000kb|   6216.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.9
000005.329|  241648.0000kb|     56.0000kb added| ALWAYS| Replay metadata retrieved.
000005.329|  241648.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.486|  241656.0000kb|      8.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000006.107|  269492.0000kb|  27836.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.177|  271192.0000kb|   1700.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000006.387|  276324.0000kb|   5132.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.504|  278540.0000kb|   2216.0000kb added| ALWAYS| Replay ready.
000006.505|  278556.0000kb|     16.0000kb added| ALWAYS| Set focus to app
000006.505|  278556.0000kb|      0.0000kb added| ALWAYS| Input started
000006.526|  278820.0000kb|    264.0000kb added| ALWAYS| Waiting for server response...
000015.486|  278828.0000kb|      8.0000kb added| ALWAYS| ---- Downloading Chunk 1
000015.726|  279944.0000kb|   1116.0000kb added| ALWAYS| **** Request chunk 1
000015.726|  279944.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000015.726|  279944.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000015.726|  279968.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001f2443a0
000015.726|  279976.0000kb|      8.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.147 [PUBLIC]
000015.726|  279980.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000015.727|  280008.0000kb|     28.0000kb added| ALWAYS| netUID: ffffffff defaultname
000015.727|  280008.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
