--- Log started at Mon Dec 10 17:18:38 2012

000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.156|  234712.0000kb|    212.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.157|  234712.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.157|  234744.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.890|  260992.0000kb|  26248.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.091|  262544.0000kb|   1552.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000006.215|  267660.0000kb|   5116.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.546|  271520.0000kb|   3860.0000kb added| ALWAYS| Sleeping
000006.645|  271520.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.645|  271524.0000kb|      4.0000kb added| ALWAYS| End processing App Update
000006.645|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.745|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.745|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.745|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.845|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.845|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.845|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000006.945|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.945|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000006.945|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.045|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.045|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.045|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.145|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.145|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.145|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.245|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.245|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.245|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.345|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.345|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.345|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.445|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.445|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.445|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.545|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.545|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.545|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
000007.645|  271524.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000007.645|  271524.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000007.645|  271524.0000kb|      0.0000kb added| ALWAYS| Sleeping
