--- Log started at Tue Jul 03 21:02:20 2012

000001.631|  230808.0000kb|    168.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000001.631|  230808.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000001.631|  230844.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000001.982|  232812.0000kb|   1968.0000kb added| ALWAYS| Physical memory: 8589934592
000001.982|  232812.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.982|  232812.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.982|  232812.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.982|  232812.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2319
000001.982|  232812.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.982|  232812.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.368|  262660.0000kb|  29848.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000003.416|  264132.0000kb|   1472.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000003.576|  269308.0000kb|   5176.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000003.650|  270988.0000kb|   1680.0000kb added| ALWAYS| Set focus to app
000003.650|  270988.0000kb|      0.0000kb added| ALWAYS| Input started
000003.667|  271176.0000kb|    188.0000kb added| ALWAYS| Query Status Req started
000003.677|  271204.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001a0c173b
000003.678|  271224.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000003.678|  271228.0000kb|      4.0000kb added| ALWAYS| Waiting for server response...
000003.777|  271228.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000003.778|  271236.0000kb|      8.0000kb added| ALWAYS| Started Map Map3
000003.778|  271260.0000kb|     24.0000kb added| ALWAYS| netUID: 0 defaultname
000003.778|  271260.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map3.zip
000003.781|  271284.0000kb|     24.0000kb added| ALWAYS| PlayGame Started
000003.896|  276852.0000kb|   5568.0000kb added| ALWAYS| PlayGame Entered
000003.896|  276920.0000kb|     68.0000kb added| ALWAYS| CurRenderPipeline
000003.918|  285660.0000kb|   8740.0000kb added| ALWAYS| CreateParticleSystemManager
000004.837|  355016.0000kb|  69356.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000004.837|  355016.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("levels/map3/scene/textures/shrine_diffuse_cmask.dds", "rb") failed: No such file or directory
000004.837|  355016.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000004.838|  355016.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "levels/map3/scene/textures/shrine_diffuse_cmask.dds".
000004.838|  355016.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open levels/map3/scene/textures/shrine_diffuse_cmask.dds (from file r3dTexture::LoadRawTexture)
000004.838|  355016.0000kb|      0.0000kb added|  ERROR| Can not open file <levels/map3/scene/textures/shrine_diffuse_cmask.dds> *********
000004.838|  355016.0000kb|      0.0000kb added|  ERROR| Failed to load levels/map3/scene/textures/shrine_diffuse_cmask.dds
000004.839|  355016.0000kb|      0.0000kb added|   WARN| r3dTexture EX: levels/map3/scene/textures/shrine_diffuse_cmask.dds - not found. Dummy texture created.
000005.109|  357908.0000kb|   2892.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000005.109|  357908.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("levels/map3/scene/textures/nexus_diff.dds", "rb") failed: No such file or directory
000005.109|  357908.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000005.109|  357908.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "levels/map3/scene/textures/nexus_diff.dds".
000005.109|  357908.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open levels/map3/scene/textures/nexus_diff.dds (from file r3dTexture::LoadRawTexture)
000005.109|  357908.0000kb|      0.0000kb added|  ERROR| Can not open file <levels/map3/scene/textures/nexus_diff.dds> *********
000005.109|  357908.0000kb|      0.0000kb added|  ERROR| Failed to load levels/map3/scene/textures/nexus_diff.dds
000005.109|  357908.0000kb|      0.0000kb added|   WARN| r3dTexture EX: levels/map3/scene/textures/nexus_diff.dds - not found. Dummy texture created.
000005.109|  357908.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000005.110|  357908.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("levels/map3/scene/textures/inhibitor_diff.dds", "rb") failed: No such file or directory
000005.110|  357908.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000005.110|  357908.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "levels/map3/scene/textures/inhibitor_diff.dds".
000005.110|  357908.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open levels/map3/scene/textures/inhibitor_diff.dds (from file r3dTexture::LoadRawTexture)
000005.110|  357908.0000kb|      0.0000kb added|  ERROR| Can not open file <levels/map3/scene/textures/inhibitor_diff.dds> *********
000005.110|  357908.0000kb|      0.0000kb added|  ERROR| Failed to load levels/map3/scene/textures/inhibitor_diff.dds
000005.110|  357908.0000kb|      0.0000kb added|   WARN| r3dTexture EX: levels/map3/scene/textures/inhibitor_diff.dds - not found. Dummy texture created.
000005.212|  359948.0000kb|   2040.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000005.212|  359948.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("levels/map3/scene/textures/grass_ground_new_dark.dds", "rb") failed: No such file or directory
000005.212|  359948.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
