000000.000|   11720.0000kb|  11720.0000kb added| ALWAYS| Logging started at 2014-01-06T21:34:59.801
000000.001|   11736.0000kb|     16.0000kb added| ALWAYS| Loading RADS dynamic library: C:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.031|   12000.0000kb|    264.0000kb added|   OKAY| Riot::RADS::Reader::RadsExportsMain::Initialize: RADS library initializing with specified working directory "C:\Riot Games\League of Legends\RADS\solutions\lol_game_client_sln\releases\0.0.1.3\deploy".
000000.031|   12000.0000kb|      0.0000kb added|   OKAY| Riot::RADS::Reader::RuntimeEnvironment::Create: Creating RADS runtime environment: RADS root directory = "C:/Riot Games/League of Legends/RADS"
000000.031|   12000.0000kb|      0.0000kb added|   OKAY| Riot::RADS::Reader::SolutionManifest::Load: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.3/solutionmanifest")
000000.031|   12012.0000kb|     12.0000kb added|   OKAY| Riot::RADS::Reader::ConfigurationManifest::Load: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.1.3/configurationmanifest")
000000.031|   12012.0000kb|      0.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::Load: ("C:/Riot Games/League of Legends/RADS/projects/lol_game_client_en_us/releases/0.0.0.180/releasemanifest")
000000.032|   12056.0000kb|     44.0000kb added|   OKAY| Riot::RADS::Reader::ReleaseManifest::Load: ("C:/Riot Games/League of Legends/RADS/projects/lol_game_client/releases/0.0.0.193/releasemanifest")
000000.230|   17564.0000kb|   5508.0000kb added| ALWAYS| Loaded RADS dynamic library: C:\Riot Games\League of Legends\RADS\RiotRadsIO.dll
000000.254|   44908.0000kb|  27344.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects/lol_air_client/releases/0.0.1.65/deploy/preferences/
000000.258|   45304.0000kb|    396.0000kb added| ALWAYS| Global logging level set to   WARN
000000.258|   45384.0000kb|     80.0000kb added| ALWAYS| Build Version: Version 3.15.0.255 (Dec 13 2013/17:11:08) [PUBLIC] <Releases/3.15> ChangeList: 428866
000000.293|   47168.0000kb|   1784.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.1.65/deploy/LolClient.exe" "192.64.171.156 5133 mu2viebaLXSz7UQui59pow== <id_removed>"
000000.297|   47188.0000kb|     20.0000kb added| ALWAYS| Started System Init
000000.320|   48004.0000kb|    816.0000kb added| ALWAYS| Maestro Init
000000.329|   48816.0000kb|    812.0000kb added| ALWAYS| Maestro completed init
000000.329|   48848.0000kb|     32.0000kb added|  ERROR| RadsOpenFile: RADS cannot open file "ClientZips.txt" because it's not in the manifest.
000000.329|   48864.0000kb|     16.0000kb added|  ERROR| std_fopen failed: pFile = 0x00000000; pMode = r; errno = 2; pFilename = ClientZips.txt; msg = No such file or directory;
000000.329|   48864.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.338|   50896.0000kb|   2032.0000kb added| ALWAYS| StartSession called
000000.338|   50896.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.339|   51040.0000kb|    144.0000kb added| ALWAYS| Waiting until connection...
000001.443|   57028.0000kb|   5988.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.443|   57028.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.443|   57028.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2319
000001.443|   57028.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 9.18.13.2049
000001.443|   57028.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.443|   57080.0000kb|     52.0000kb added| ALWAYS| {"messageType":"hardware_information","message_body":"Hardware Info","operating_system":"Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit","cpu":"GenuineIntel","cpu_processor":"Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz","cpu_identifier":"Intel64 Family 6 Model 58 Stepping 9","cpu_topology":4,"gpu":"NVIDIA GeForce GTX 660M","video_memory":"2147483648","driver_version":"9.18.13.2049","physical_memory":8589934592}
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION START-----
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| Operating System: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| GPU Manufacturer: NVIDIA GeForce GTX 660M
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| GPU Memory: 2147483648
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| GPU Driver Version: 9.18.13.2049
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| CPU Brand: GenuineIntel
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| CPU Processor Name: Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| CPU Identifier: Intel64 Family 6 Model 58 Stepping 9
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| CPU Speed: 2294
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| CPU Topology: 4 Core
000001.443|   57080.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.444|   57080.0000kb|      0.0000kb added| ALWAYS| -----HARDWARE INFORMATION END-----
000002.012|   59468.0000kb|   2388.0000kb added| ALWAYS| InitRenderer() enter
