--- Log started at Fri Jun 29 21:17:53 2012

000002.665|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.665|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.765|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.765|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.765|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.865|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.865|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.865|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.965|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.965|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.965|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.065|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.065|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.065|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.165|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.165|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.165|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.265|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.265|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.265|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.365|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.365|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.365|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.465|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.465|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.465|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.565|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.565|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.565|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.665|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.665|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.665|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.765|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.765|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.765|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.865|  229528.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.865|  229528.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.865|  229528.0000kb|      0.0000kb added| ALWAYS| Sleeping
