--- Log started at Tue Jun 26 17:34:27 2012

000002.737|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.737|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.837|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.837|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.837|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.937|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.937|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.937|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.037|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.037|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.037|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.137|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.137|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.137|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.237|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.237|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.237|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.337|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.337|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.337|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.437|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.437|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.437|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.537|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.537|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.537|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.637|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.637|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.637|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.737|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.737|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.737|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.837|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.837|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.837|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.937|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.937|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.937|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.037|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.037|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.037|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.137|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.137|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.137|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.237|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.237|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
