--- Log started at Wed Aug 15 17:51:49 2012

000002.197|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.296|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.297|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.297|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.396|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.397|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.397|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.496|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.497|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.497|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.596|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.596|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.596|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.696|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.697|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.697|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.796|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.797|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.797|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.896|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.897|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.897|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.996|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.997|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.997|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.096|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.097|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.097|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.196|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.197|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.197|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.296|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.297|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.297|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.396|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.397|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.397|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.496|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.497|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.497|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.596|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.596|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.597|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.696|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.697|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.697|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.796|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.797|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.797|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.896|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.897|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.897|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.996|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.997|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.997|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.096|  238892.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.097|  238892.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.097|  238892.0000kb|      0.0000kb added| ALWAYS| Sleeping
