--- Log started at Tue Aug 21 14:44:03 2012

000003.076|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.176|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.176|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.176|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.276|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.276|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.276|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.376|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.376|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.376|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.476|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.476|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.476|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.576|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.576|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.576|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.661|  240224.0000kb|    280.0000kb added| ALWAYS| Physical memory: 8589934592
000003.661|  240224.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000003.661|  240224.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000003.661|  240224.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000003.661|  240228.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2350
000003.661|  240228.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000003.661|  240228.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.676|  240164.0000kb|    -64.0000kb added| ALWAYS| Start processing App Update
000003.676|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.676|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.776|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.776|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.776|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.876|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.876|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.876|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.976|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.976|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.976|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.076|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.076|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.076|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.176|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.176|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.176|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.276|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.276|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.276|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.376|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.376|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.376|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.476|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.476|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.476|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.576|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.576|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.576|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.676|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.676|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.676|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.776|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.776|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.776|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.876|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.876|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.876|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.976|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.976|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.976|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.076|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.076|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.076|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.176|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.176|  240164.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.176|  240164.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.276|  240164.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
