--- Log started at Wed Feb 20 11:42:01 2013

000005.259|  241704.0000kb|   4580.0000kb added|  ERROR| ReplayServerConnection GetGameMetaData error. HTTP status code: 500
000005.259|  241708.0000kb|      4.0000kb added|  ERROR| Replay metadata retrieve Failure!!
000005.259|  241708.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 6855
000006.364|  246284.0000kb|   4576.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000007.964|  249840.0000kb|   3556.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000007.964|  249844.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000007.980|  249876.0000kb|     32.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(101ed080) and resolution (1366 x 768) 
000007.980|  249876.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(101ed080) and resolution (683 x 384) 
000007.980|  249880.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000008.403|  254932.0000kb|   5052.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000008.950|  259000.0000kb|   4068.0000kb added| ALWAYS| Sleeping
000009.049|  259000.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.049|  259008.0000kb|      8.0000kb added| ALWAYS| End processing App Update
000009.050|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.149|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.149|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.149|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.249|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.249|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.250|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.349|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.349|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.350|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.449|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.449|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.450|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.549|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.549|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.549|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.649|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.649|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.650|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.749|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.749|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.749|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.849|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.849|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.850|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.949|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.949|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.950|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.049|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.049|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.049|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.149|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.149|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.149|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.249|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.249|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.250|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.349|  259008.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.349|  259008.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.349|  259008.0000kb|      0.0000kb added| ALWAYS| Sleeping
