--- Log started at Wed Jul 04 20:23:57 2012

000002.660|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.660|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.760|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.760|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.760|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.860|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.860|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.860|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.960|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.960|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.960|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.060|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.060|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.060|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.160|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.160|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.160|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.260|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.260|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.260|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.360|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.360|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.360|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.460|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.460|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.460|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.560|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.560|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.560|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.660|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.660|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.660|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.760|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.760|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.760|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.860|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.860|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.860|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.960|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.960|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.960|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.060|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.060|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.060|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.160|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.160|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.160|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.260|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.260|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.260|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.360|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.360|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.360|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.460|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.460|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.460|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.560|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.560|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.560|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.660|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.660|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.660|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.760|  238084.0000kb|   -136.0000kb added| ALWAYS| Start processing App Update
000004.760|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.760|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.860|  238084.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.860|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.860|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.960|  238084.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.960|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.960|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.060|  238084.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.060|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.060|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.160|  238084.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.160|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.160|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.260|  238084.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.260|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.260|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.360|  238084.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.360|  238084.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.360|  238084.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.460|  238124.0000kb|     40.0000kb added| ALWAYS| Start processing App Update
000005.460|  238124.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.460|  238124.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.495|  238132.0000kb|      8.0000kb added| ALWAYS| Spectator server version retrieved: 1.59.01
000005.560|  238132.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.560|  238132.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.560|  238132.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.626|  238188.0000kb|     56.0000kb added| ALWAYS| Replay metadata retrieved.
000005.626|  238188.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.660|  238196.0000kb|      8.0000kb added| ALWAYS| Start processing App Update
000005.660|  238196.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.660|  238196.0000kb|      0.0000kb added| ALWAYS| Replay ready.
000005.660|  238196.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000005.660|  238196.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000005.660|  238196.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000005.660|  238196.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000005.661|  238196.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2312
000005.661|  238196.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000005.661|  238196.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000005.661|  238196.0000kb|      0.0000kb added| ALWAYS| Started Init render
000005.662|  238208.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.158\deploy\preferences\
000005.662|  238220.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000005.662|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000005.662|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000005.662|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000005.663|  238220.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000005.664|  238228.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000005.664|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000005.664|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000005.664|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000005.664|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000005.664|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000005.664|  238232.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000005.664|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000005.664|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
