--- Log started at Mon Mar 04 16:12:22 2013

000004.706|  263788.0000kb|   3984.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.706|  263788.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000004.723|  263788.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(1090be30) and resolution (1366 x 768) 
000004.723|  263788.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(1090be30) and resolution (683 x 384) 
000004.723|  263792.0000kb|      4.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1366x768
000004.812|  268764.0000kb|   4972.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.431|  273060.0000kb|   4296.0000kb added| ALWAYS| Connected
000005.431|  273092.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 000000002bb6739b, PlatformID: NA1
000005.431|  273092.0000kb|      0.0000kb added| ALWAYS| Received client ID
000005.432|  272956.0000kb|   -136.0000kb added| ALWAYS| Set focus to app
000005.432|  272956.0000kb|      0.0000kb added| ALWAYS| Input started
000005.440|  273140.0000kb|    184.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.440|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.441|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273140.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273004.0000kb|   -136.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.442|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell4, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell3, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell2, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtSmartCastSpell1, [<Unbound>]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell4, [r]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell3, [e]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell2, [w]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.443|  273004.0000kb|      0.0000kb added|  ERROR| Duplicate key/value pair ([evtCastSpell1, [q]] in C:\Riot Games\League of Legends\/Config/Input.ini
000005.472|  273092.0000kb|     88.0000kb added| ALWAYS| Query Status Req started
000005.611|  273092.0000kb|      0.0000kb added| ALWAYS| Query Status Req ended
000005.611|  273092.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000005.811|  273096.0000kb|      4.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 3.03.0.198 [PUBLIC]
000005.811|  273104.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000005.812|  273128.0000kb|     24.0000kb added| ALWAYS| netUID: 3 defaultname
000005.812|  273128.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.816|  273148.0000kb|     20.0000kb added| ALWAYS| PlayGame Started
000007.099|  316808.0000kb|  43660.0000kb added| ALWAYS| PlayGame Entered
000007.100|  316860.0000kb|     52.0000kb added| ALWAYS| CurRenderPipeline
000007.118|  316864.0000kb|      4.0000kb added| ALWAYS| CreateParticleSystemManager
000007.899|  325040.0000kb|   8176.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000008.011|  328356.0000kb|   3316.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000008.880|  421512.0000kb|  93156.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
000012.402|  488928.0000kb|  67416.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000012.402|  488928.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000012.402|  488928.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000012.933|  491776.0000kb|   2848.0000kb added| ALWAYS| GameWorld.Update()
000012.933|  491780.0000kb|      4.0000kb added| ALWAYS| Begin Game Object Update
000013.408|  506044.0000kb|  14264.0000kb added| ALWAYS| End Game Object Update
000013.663|  509416.0000kb|   3372.0000kb added| ALWAYS| PreloadGlobalEffects()
000013.663|  509416.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000014.230|  546932.0968kb|  37516.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000014.230|  546932.0968kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000014.379|  550636.0032kb|   3704.0000kb added| ALWAYS| Preload Announcements
000014.740|  565132.0032kb|  14496.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000014.742|  565168.0000kb|     36.0000kb added| ALWAYS| FogOfWar::Init()
000014.754|  565204.0968kb|     36.0000kb added| ALWAYS| Gamma::CreateIAPI()
000014.762|  565240.0000kb|     36.0000kb added| ALWAYS| SimulationClock->Init()
000018.423|  692052.0968kb| 126812.0000kb added|  ERROR| Failed to load mesh file name<test_crystals.sco>.
000022.374|  750892.0032kb|  58840.0000kb added|  ERROR| Failed to load spell ini or script: "mordekaisercotgpetslow"
000023.049|  757412.0968kb|   6520.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000023.049|  757456.0000kb|     44.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000024.316|  777388.0032kb|  19932.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000024.403|  801248.0000kb|  23860.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000024.403|  801336.0000kb|     88.0000kb added| ALWAYS| Start Main Loop
000024.403|  801380.0968kb|     44.0000kb added| ALWAYS| Waiting for all players to connect
000024.403|  801396.0968kb|     16.0000kb added| ALWAYS| Waiting for all players to connect end
000025.115|  817800.0000kb|  16404.0000kb added|  ERROR| Failed to load mesh file name<wraith_hit.sco>.
000025.837|  837592.0000kb|  19792.0000kb added|  ERROR| Failed to load spell ini or script: "furyblade"
000034.611|  850420.0968kb|  12828.0000kb added| ALWAYS| Disconnected
000034.611|  850420.0968kb|      0.0000kb added| ALWAYS| Application terminating due to disconnect while loading
