--- Log started at Sun Nov 25 21:34:31 2012

000003.527|  237904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.538|  237968.0000kb|     64.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.538|  237968.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.538|  237996.0000kb|     28.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.124|  244264.0000kb|   6268.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.35
000005.232|  244312.0000kb|     48.0000kb added| ALWAYS| Replay metadata retrieved.
000005.232|  244312.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.310|  244316.0000kb|      4.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000006.271|  265656.0000kb|  21340.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.530|  267720.0000kb|   2064.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000006.653|  272864.0000kb|   5144.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.738|  274940.0000kb|   2076.0000kb added| ALWAYS| Replay ready.
000006.738|  274808.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000006.738|  274808.0000kb|      0.0000kb added| ALWAYS| Input started
000006.757|  275072.0000kb|    264.0000kb added| ALWAYS| Waiting for server response...
000015.310|  275092.0000kb|     20.0000kb added| ALWAYS| ---- Downloading Chunk 1
000015.457|  276200.0000kb|   1108.0000kb added| ALWAYS| **** Request chunk 1
000015.457|  276200.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000015.457|  276200.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000015.457|  276244.0000kb|     44.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000015.457|  276252.0000kb|      8.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.151 [PUBLIC]
000015.458|  276252.0000kb|      0.0000kb added| ALWAYS| Started Map Map1
000015.458|  276276.0000kb|     24.0000kb added| ALWAYS| netUID: ffffffff defaultname
000015.458|  276276.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000015.470|  276348.0000kb|     72.0000kb added| ALWAYS| PlayGame Started
000015.484|  276612.0000kb|    264.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000016.317|  312680.0000kb|  36068.0000kb added| ALWAYS| PlayGame Entered
000016.317|  312680.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.317|  312680.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.370|  314688.0000kb|   2008.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.528|  326048.0000kb|  11360.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.528|  326048.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.587|  328104.0000kb|   2056.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.803|  335040.0000kb|   6936.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000016.867|  337124.0000kb|   2084.0000kb added| ALWAYS| CurRenderPipeline
000016.871|  337200.0000kb|     76.0000kb added| ALWAYS| CreateParticleSystemManager
000017.026|  349928.0000kb|  12728.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000017.030|  350632.0000kb|    704.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000023d9e488, PlatformID: NA1
000017.223|  359808.0000kb|   9176.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 2
000017.795|  429244.0000kb|  69436.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000021.259|  461968.0000kb|  32724.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000021.259|  461968.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000021.259|  461968.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000021.452|  469460.0000kb|   7492.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000021.522|  472640.0000kb|   3180.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000021.524|  472812.0000kb|    172.0000kb added| ALWAYS| GameWorld.Update()
000021.524|  472812.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000021.812|  486220.0000kb|  13408.0000kb added| ALWAYS| End Game Object Update
000022.115|  492688.0000kb|   6468.0000kb added| ALWAYS| PreloadGlobalEffects()
000022.115|  492688.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000022.503|  528600.0000kb|  35912.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000022.503|  528600.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000022.629|  532780.0000kb|   4180.0000kb added| ALWAYS| Preload Announcements
000022.880|  547392.0000kb|  14612.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000022.882|  547428.0968kb|     36.0000kb added| ALWAYS| FogOfWar::Init()
000022.885|  547584.0000kb|    156.0000kb added| ALWAYS| Gamma::CreateIAPI()
000022.887|  547632.0000kb|     48.0000kb added| ALWAYS| SimulationClock->Init()
000023.211|  577380.0968kb|  29748.0000kb added|   WARN| Flash swf ReplayUI.swf does not have a valid _global.ContentHeight defaulting
000023.211|  577380.0968kb|      0.0000kb added|   WARN| Flash swf ReplayUI.swf does not have a valid _global.ContentWidth defaulting
000023.235|  579400.0000kb|   2020.0000kb added|   WARN| Flash swf MessageList.swf does not have a valid _global.ContentHeight defaulting
000023.268|  585112.0000kb|   5712.0000kb added|   WARN| Flash swf MessageBoxSmall.swf does not have a valid _global.ContentHeight defaulting
000025.484|  654660.0968kb|  69548.0000kb added| ALWAYS| ---- Waiting to fetch 10
000025.576|  657276.0032kb|   2616.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000027.861|  678280.0000kb|  21004.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
000031.148|  713288.0000kb|  35008.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000031.149|  713288.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000031.401|  729204.0968kb|  15916.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000031.443|  746612.0968kb|  17408.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000031.444|  746680.0000kb|     68.0000kb added| ALWAYS| Start Main Loop
000031.445|  747164.0032kb|    484.0000kb added| ALWAYS| Waiting for all players to connect
000031.445|  747212.0032kb|     48.0000kb added| ALWAYS| Waiting for all players to connect end
000035.577|  782880.0000kb|  35668.0000kb added| ALWAYS| ---- Downloading Chunk 2
000035.774|  782880.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000035.997|  782880.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 2
000035.997|  782880.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 2 of chunk type 1
000035.997|  782880.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 2  chunk start time: 0.000000  current time: 0.000000
000036.007|  782880.0000kb|      0.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 3
000045.774|  782884.0968kb|      4.0000kb added| ALWAYS| ---- Waiting to fetch 10
000045.863|  782884.0968kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 9807
000055.670|  782884.0968kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10
000055.762|  782884.0968kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000065.762|  782884.0968kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 3
000065.956|  783004.0032kb|    120.0000kb added| ALWAYS| ---- Waiting to fetch 1340
