--- Log started at Thu Dec 06 15:35:57 2012

000009.539|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.639|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.639|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.639|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.739|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.739|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.739|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.839|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.839|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.839|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000009.939|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000009.939|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000009.939|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.039|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.039|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.039|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.139|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.139|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.139|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.239|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.239|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.239|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.339|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.339|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.339|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.439|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.439|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.439|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.539|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.539|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.539|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.639|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.639|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.639|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.739|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.739|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.739|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.839|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.839|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.839|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000010.939|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000010.939|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000010.939|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.039|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.039|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.039|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.139|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.139|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.139|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.239|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.239|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.239|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.339|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.339|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.339|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.439|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.439|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.439|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.539|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.539|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.539|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.639|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.639|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.639|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.739|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.739|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.739|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.839|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.839|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.839|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000011.939|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000011.939|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000011.939|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.039|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.039|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.039|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.139|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.139|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.139|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.239|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.239|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.239|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.339|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.339|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.339|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.439|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.439|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.439|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.539|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.539|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.539|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.639|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.639|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.639|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.739|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.739|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.739|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.839|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.839|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.839|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000012.939|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000012.939|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000012.939|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.039|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.039|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.039|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.139|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.139|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.139|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.239|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.239|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.239|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.339|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.339|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.339|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.439|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.439|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.439|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.539|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.539|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.539|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.639|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.639|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.639|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.739|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.739|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.739|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.839|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.839|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.839|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000013.939|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000013.939|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000013.939|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.039|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.039|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.039|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.139|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.139|  273592.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.139|  273592.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.239|  273592.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.239|  273596.0000kb|      4.0000kb added| ALWAYS| End processing App Update
000014.239|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.339|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.339|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.339|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.439|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.439|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.439|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.539|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.539|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.539|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.639|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.639|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.639|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.739|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.739|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.739|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.839|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.839|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.839|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000014.939|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000014.939|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000014.939|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.039|  273596.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.039|  273596.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.039|  273596.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.083|  273596.0000kb|      0.0000kb added|  ERROR| Failed to connect to 216.133.234.17
000015.083|  273572.0000kb|    -24.0000kb added|  ERROR| ReplayServerConnection GetServerVersion error. Could not send HTTP request. Error: -2147467259
000015.083|  273572.0000kb|      0.0000kb added|  ERROR| Spectator server version retrieve Failure!!
000015.083|  273572.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5868
000015.139|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.139|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.139|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.239|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.239|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.239|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.339|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.339|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.339|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.439|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.439|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.439|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.539|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.539|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.539|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.639|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.639|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.639|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.739|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.739|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.739|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.839|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.839|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.839|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000015.939|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000015.939|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000015.939|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.039|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.039|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.039|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.139|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.139|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.139|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.239|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.239|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.239|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.339|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.339|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.339|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.439|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.439|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.439|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.539|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.539|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.539|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.639|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.639|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.639|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.739|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.739|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.739|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.839|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.839|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.839|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000016.939|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000016.939|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000016.939|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000017.039|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000017.039|  273572.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000017.039|  273572.0000kb|      0.0000kb added| ALWAYS| Sleeping
000017.139|  273572.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
