--- Log started at Sun Jun 24 21:35:17 2012

000001.879|  231148.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000001.879|  231148.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000001.879|  231148.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000001.879|  231148.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000001.879|  231148.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000001.879|  231152.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000001.879|  231152.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000001.887|  231336.0000kb|    184.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000001.887|  231336.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000001.888|  231372.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.533|  252736.0000kb|  21364.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000003.583|  254236.0000kb|   1500.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000003.705|  259380.0000kb|   5144.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000003.774|  260856.0000kb|   1476.0000kb added| ALWAYS| Set focus to app
000003.774|  260856.0000kb|      0.0000kb added| ALWAYS| Input started
000003.788|  261064.0000kb|    208.0000kb added| ALWAYS| Query Status Req started
000003.958|  260948.0000kb|   -116.0000kb added| ALWAYS| Query Status Req ended
000003.958|  260948.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000004.258|  260948.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000004.258|  260956.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000004.258|  260980.0000kb|     24.0000kb added| ALWAYS| netUID: 0 defaultname
000004.258|  260980.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000004.262|  260996.0000kb|     16.0000kb added| ALWAYS| PlayGame Started
000004.381|  266148.0000kb|   5152.0000kb added| ALWAYS| PlayGame Entered
000004.381|  266448.0000kb|    300.0000kb added| ALWAYS| CurRenderPipeline
000004.405|  274908.0000kb|   8460.0000kb added| ALWAYS| CreateParticleSystemManager
000006.764|  425052.0000kb| 150144.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000006.764|  425052.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000006.764|  425052.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000006.764|  425052.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000006.764|  425052.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000006.764|  425052.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000006.764|  425052.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000006.764|  425052.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
000007.606|  437004.0000kb|  11952.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000007.648|  439120.0000kb|   2116.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000007.650|  439396.0000kb|    276.0000kb added| ALWAYS| GameWorld.Update()
000007.650|  439416.0000kb|     20.0000kb added| ALWAYS| Begin Game Object Update
000008.012|  455912.0000kb|  16496.0000kb added| ALWAYS| End Game Object Update
000008.995|  484224.0000kb|  28312.0000kb added| ALWAYS| PreloadGlobalEffects()
000008.995|  484224.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
